<<<<<<< HEAD
,signal0
400,874
401,876
402,875
403,876
404,879
405,881
406,884
407,883
408,885
409,879
410,876
411,878
412,881
413,879
414,883
415,883
416,883
417,887
418,888
419,889
420,887
421,887
422,886
423,884
424,882
425,881
426,882
427,882
428,881
429,882
430,882
431,881
432,879
433,876
434,873
435,871
436,870
437,868
438,866
439,865
440,864
441,864
442,865
443,862
444,863
445,860
446,858
447,854
448,853
449,849
450,848
451,848
452,851
453,852
454,852
455,853
456,852
457,850
458,850
459,849
460,846
461,846
462,845
463,846
464,845
465,847
466,848
467,846
468,847
469,846
470,845
471,841
472,839
473,839
474,839
475,840
476,841
477,841
478,844
479,842
480,842
481,842
482,839
483,839
484,836
485,834
486,835
487,832
488,834
489,835
490,836
491,835
492,832
493,830
494,832
495,829
496,829
497,829
498,830
499,830
500,828
501,828
502,829
503,830
504,830
505,831
506,829
507,829
508,827
509,827
510,829
511,832
512,833
513,833
514,835
515,834
516,834
517,835
518,833
519,832
520,830
521,831
522,829
523,830
524,831
525,832
526,833
527,834
528,833
529,835
530,832
531,833
532,829
533,831
534,833
535,831
536,832
537,831
538,836
539,835
540,836
541,836
542,832
543,830
544,830
545,829
546,830
547,832
548,834
549,836
550,839
551,838
552,838
553,838
554,837
555,833
556,836
557,832
558,834
559,832
560,834
561,837
562,838
563,840
564,839
565,838
566,837
567,836
568,837
569,835
570,835
571,837
572,837
573,839
574,841
575,841
576,837
577,834
578,835
579,833
580,836
581,833
582,836
583,838
584,836
585,839
586,837
587,837
588,837
589,838
590,837
591,836
592,835
593,837
594,835
595,838
596,838
597,840
598,843
599,842
600,842
601,839
602,841
603,840
604,838
605,838
606,839
607,839
608,842
609,846
610,848
611,847
612,849
613,849
614,851
615,851
616,851
617,846
618,848
619,849
620,850
621,852
622,853
623,855
624,855
625,852
626,849
627,848
628,846
629,848
630,850
631,851
632,854
633,854
634,854
635,853
636,848
637,846
638,846
639,844
640,842
641,841
642,840
643,842
644,844
645,843
646,846
647,844
648,842
649,843
650,842
651,843
652,841
653,843
654,843
655,844
656,845
657,847
658,850
659,849
660,857
661,863
662,878
663,893
664,915
665,935
666,954
667,972
668,985
669,995
670,1002
671,1009
672,1020
673,1022
674,1023
675,1017
676,1006
677,994
678,980
679,961
680,944
681,925
682,910
683,896
684,887
685,876
686,868
687,860
688,854
689,849
690,848
691,847
692,847
693,849
694,854
695,851
696,852
697,853
698,851
699,850
700,847
701,850
702,849
703,853
704,855
705,857
706,860
707,860
708,860
709,858
710,858
711,858
712,855
713,856
714,856
715,857
716,859
717,862
718,860
719,862
720,861
721,860
722,859
723,859
724,859
725,855
726,858
727,861
728,861
729,865
730,865
731,866
732,866
733,864
734,863
735,861
736,864
737,863
738,862
739,863
740,864
741,864
742,866
743,867
744,866
745,863
746,865
747,864
748,863
749,864
750,859
751,865
752,868
753,870
754,874
755,873
756,872
757,871
758,869
759,871
760,869
761,868
762,869
763,871
764,873
765,876
766,874
767,875
768,873
769,875
770,869
771,870
772,868
773,867
774,865
775,866
776,866
777,865
778,868
779,865
780,861
781,860
782,859
783,855
784,849
785,849
786,847
787,849
788,847
789,848
790,847
791,844
792,842
793,840
794,837
795,835
796,834
797,831
798,830
799,830
800,830
801,832
802,832
803,833
804,834
805,832
806,830
807,831
808,827
809,827
810,826
811,826
812,825
813,826
814,827
815,829
816,828
817,827
818,824
819,819
820,819
821,815
822,817
823,817
824,819
825,816
826,820
827,819
828,819
829,818
830,817
831,817
832,814
833,813
834,812
835,813
836,815
837,815
838,816
839,817
840,816
841,814
842,813
843,811
844,811
845,811
846,811
847,813
848,816
849,816
850,818
851,818
852,817
853,814
854,813
855,815
856,814
857,813
858,813
859,816
860,819
861,818
862,823
863,823
864,821
865,819
866,821
867,819
868,820
869,818
870,817
871,821
872,823
873,822
874,826
875,824
876,827
877,826
878,824
879,820
880,821
881,824
882,822
883,826
884,827
885,828
886,830
887,831
888,830
889,830
890,829
891,829
892,829
893,829
894,827
895,827
896,829
897,830
898,832
899,833
900,831
901,834
902,832
903,830
904,830
905,829
906,830
907,828
908,832
909,830
910,832
911,833
912,834
913,832
914,831
915,832
916,831
917,828
918,831
919,831
920,835
921,833
922,837
923,839
924,839
925,839
926,837
927,835
928,837
929,835
930,837
931,838
932,838
933,840
934,841
935,840
936,841
937,842
938,839
939,838
940,838
941,835
942,836
943,837
944,840
945,841
946,845
947,845
948,844
949,845
950,842
951,845
952,843
953,845
954,849
955,850
956,854
957,854
958,855
959,855
960,853
961,850
962,851
963,853
964,853
965,855
966,856
967,859
968,860
969,860
970,861
971,861
972,861
973,861
974,862
975,860
976,859
977,857
978,855
979,857
980,860
981,860
982,861
983,859
984,860
985,857
986,853
987,851
988,849
989,850
990,848
991,851
992,853
993,856
994,857
995,858
996,857
997,858
998,855
999,855
1000,854
1001,854
1002,856
1003,860
1004,864
1005,871
1006,883
1007,896
1008,917
1009,941
1010,966
1011,987
1012,1008
1013,1022
1014,1030
1015,1032
1016,1039
1017,1047
1018,1056
1019,1062
1020,1057
1021,1051
1022,1042
1023,1029
1024,1015
1025,1001
1026,985
1027,965
1028,948
1029,929
1030,916
1031,902
1032,890
1033,882
1034,873
1035,867
1036,864
1037,861
1038,863
1039,865
1040,868
1041,870
1042,872
1043,871
1044,871
1045,870
1046,869
1047,868
1048,868
1049,867
1050,865
1051,870
1052,871
1053,867
1054,871
1055,872
1056,873
1057,874
1058,873
1059,873
1060,873
1061,872
1062,871
1063,873
1064,876
1065,878
1066,880
1067,882
1068,880
1069,879
1070,878
1071,876
1072,876
1073,876
1074,876
1075,878
1076,879
1077,881
1078,881
1079,882
1080,883
1081,883
1082,885
1083,883
1084,880
1085,879
1086,879
1087,881
1088,883
1089,885
1090,886
1091,886
1092,887
1093,884
1094,884
1095,883
1096,882
1097,884
1098,883
1099,886
1100,888
1101,891
1102,892
1103,891
1104,890
1105,888
1106,888
1107,889
1108,887
1109,885
1110,885
1111,884
1112,887
1113,889
1114,890
1115,888
1116,890
1117,892
1118,889
1119,887
1120,886
1121,884
1122,884
1123,884
1124,883
1125,882
1126,884
1127,883
1128,881
1129,880
1130,876
1131,874
1132,870
1133,867
1134,865
1135,865
1136,864
1137,861
1138,864
1139,864
1140,863
1141,861
1142,857
1143,853
1144,849
1145,847
1146,845
1147,846
1148,847
1149,847
1150,850
1151,848
1152,848
1153,847
1154,844
1155,843
1156,842
1157,843
1158,841
1159,843
1160,845
1161,847
1162,849
1163,846
1164,845
1165,844
1166,841
1167,841
1168,839
1169,839
1170,839
1171,837
1172,839
1173,839
1174,841
1175,839
1176,840
1177,841
1178,839
1179,837
1180,836
1181,835
1182,833
1183,834
1184,835
1185,839
1186,838
1187,838
1188,841
1189,839
1190,837
1191,836
1192,834
1193,837
1194,833
1195,835
1196,837
1197,835
1198,838
1199,840
1200,840
1201,839
1202,839
1203,837
1204,835
1205,835
1206,836
1207,837
1208,838
1209,840
1210,842
1211,842
1212,842
1213,842
1214,839
1215,841
1216,837
1217,836
1218,837
1219,839
1220,839
1221,842
1222,845
1223,844
1224,844
1225,842
1226,841
1227,839
1228,840
1229,837
1230,840
1231,840
1232,842
1233,844
1234,846
1235,843
1236,843
1237,844
1238,843
1239,839
1240,838
1241,837
1242,838
1243,839
1244,843
1245,843
1246,844
1247,845
1248,845
1249,845
1250,844
1251,843
1252,843
1253,843
1254,842
1255,844
1256,845
1257,848
1258,848
1259,848
1260,846
1261,847
1262,846
1263,844
1264,845
1265,844
1266,845
1267,843
1268,846
1269,848
1270,850
1271,849
1272,847
1273,846
1274,846
1275,844
1276,843
1277,844
1278,843
1279,845
1280,847
1281,847
1282,848
1283,850
1284,849
1285,847
1286,847
1287,842
1288,843
1289,840
1290,842
1291,843
1292,843
1293,845
1294,848
1295,850
1296,853
1297,854
1298,855
1299,857
1300,856
1301,853
1302,854
1303,853
1304,854
1305,856
1306,859
1307,860
1308,860
1309,859
1310,856
1311,852
1312,852
1313,852
1314,853
1315,853
1316,853
1317,856
1318,860
1319,858
1320,856
1321,855
1322,854
1323,848
1324,847
1325,844
1326,845
1327,846
1328,847
1329,845
1330,847
1331,847
1332,849
1333,845
1334,843
1335,845
1336,845
1337,843
1338,843
1339,846
1340,847
1341,849
1342,853
1343,857
1344,857
1345,860
1346,861
1347,865
1348,872
1349,886
1350,906
1351,930
1352,958
1353,984
1354,1006
1355,1023
1356,1034
1357,1039
1358,1045
1359,1049
1360,1054
1361,1052
1362,1043
1363,1025
1364,1010
1365,990
1366,969
1367,947
1368,923
1369,907
1370,891
1371,883
1372,874
1373,865
1374,861
1375,860
1376,859
1377,859
1378,860
1379,864
1380,864
1381,864
1382,864
1383,864
1384,861
1385,862
1386,859
1387,861
1388,860
1389,864
1390,866
1391,870
1392,868
1393,868
1394,868
1395,867
1396,867
1397,866
1398,867
1399,868
1400,871
1401,871
1402,873
1403,870
1404,873
1405,873
1406,873
1407,873
1408,872
1409,870
1410,872
1411,875
1412,877
1413,879
1414,880
1415,880
1416,878
1417,879
1418,881
1419,878
1420,879
1421,876
1422,873
1423,877
1424,878
1425,880
1426,882
1427,882
1428,883
1429,883
1430,883
1431,882
1432,881
1433,880
1434,880
1435,882
1436,881
1437,884
1438,888
1439,889
1440,888
1441,889
1442,888
1443,889
1444,887
1445,886
1446,888
1447,886
1448,888
1449,892
1450,892
1451,893
1452,892
1453,889
1454,887
1455,886
1456,885
1457,885
1458,884
1459,885
1460,884
1461,883
1462,884
1463,883
1464,884
1465,883
1466,879
1467,878
1468,875
1469,873
1470,870
1471,869
1472,868
1473,867
1474,869
1475,865
1476,866
1477,861
1478,858
1479,856
1480,855
1481,851
1482,849
1483,854
1484,854
1485,855
1486,856
1487,854
1488,853
1489,853
1490,853
1491,848
1492,847
1493,847
1494,847
1495,848
1496,848
1497,850
1498,851
1499,855
1500,852
1501,851
1502,849
1503,848
1504,845
1505,847
1506,844
1507,845
1508,844
1509,845
1510,846
1511,847
1512,846
1513,845
1514,841
1515,842
1516,838
1517,836
1518,835
1519,836
1520,836
1521,838
1522,839
1523,838
1524,840
1525,838
1526,835
1527,834
1528,834
1529,833
1530,832
1531,831
1532,831
1533,833
1534,833
1535,834
1536,836
1537,837
1538,836
1539,833
1540,834
1541,830
1542,832
1543,831
1544,830
1545,835
1546,835
1547,838
1548,836
1549,835
1550,833
1551,831
1552,829
1553,829
1554,830
1555,830
1556,831
1557,835
1558,837
1559,837
1560,837
1561,837
1562,837
1563,834
1564,833
1565,831
1566,830
1567,834
1568,834
1569,833
1570,834
1571,835
1572,833
1573,833
1574,834
1575,835
1576,831
1577,833
1578,834
1579,834
1580,836
1581,838
1582,840
1583,839
1584,840
1585,838
1586,838
1587,837
1588,836
1589,835
1590,836
1591,835
1592,839
1593,839
1594,843
1595,844
1596,843
1597,840
1598,839
1599,837
1600,837
1601,835
1602,837
1603,840
1604,842
1605,842
1606,844
1607,844
1608,846
1609,844
1610,844
1611,845
1612,845
1613,843
1614,841
1615,843
1616,840
1617,844
1618,846
1619,847
1620,847
1621,848
1622,844
1623,844
1624,840
1625,842
1626,842
1627,842
1628,844
1629,845
1630,847
1631,848
1632,849
1633,849
1634,849
1635,852
1636,852
1637,853
1638,853
1639,855
1640,855
1641,855
1642,858
1643,858
1644,860
1645,858
1646,857
1647,857
1648,854
1649,853
1650,855
1651,854
1652,855
1653,858
1654,864
1655,864
1656,862
1657,861
1658,857
1659,856
1660,852
1661,851
1662,850
1663,848
1664,847
1665,848
1666,848
1667,849
1668,853
1669,851
1670,850
1671,848
1672,848
1673,849
1674,849
1675,852
1676,853
1677,855
1678,855
1679,859
1680,862
1681,867
1682,878
1683,893
1684,916
1685,942
1686,970
1687,996
1688,1017
1689,1035
1690,1045
1691,1053
1692,1051
1693,1056
1694,1057
1695,1054
1696,1046
1697,1032
1698,1018
1699,1005
1700,991
1701,977
1702,960
1703,941
1704,919
1705,903
1706,889
1707,879
1708,869
1709,863
1710,860
1711,857
1712,857
1713,858
1714,862
1715,864
1716,864
1717,865
1718,863
1719,863
1720,861
1721,859
1722,863
1723,862
1724,863
1725,865
1726,867
1727,869
1728,870
1729,869
1730,867
1731,867
1732,866
1733,865
1734,867
1735,867
1736,869
1737,872
1738,873
1739,873
1740,873
1741,874
1742,870
1743,872
1744,871
1745,869
1746,870
1747,872
1748,873
1749,874
1750,876
1751,874
1752,874
1753,874
1754,874
1755,873
1756,871
1757,871
1758,871
1759,872
1760,875
1761,875
1762,881
1763,880
1764,880
1765,878
1766,878
1767,880
1768,877
1769,878
1770,877
1771,878
1772,879
1773,880
1774,882
1775,883
1776,884
1777,882
1778,883
1779,883
1780,881
1781,877
1782,877
1783,877
1784,882
1785,881
1786,881
1787,881
1788,881
1789,879
1790,877
1791,875
1792,870
1793,869
1794,870
1795,868
1796,869
1797,869
1798,870
1799,868
1800,867
1801,865
1802,859
1803,857
1804,854
1805,852
1806,851
1807,850
1808,851
1809,848
1810,850
1811,850
1812,849
1813,847
1814,845
1815,842
1816,844
1817,844
1818,844
1819,844
1820,844
1821,843
1822,847
1823,849
1824,849
1825,845
1826,846
1827,842
1828,843
1829,841
1830,840
1831,837
1832,837
1833,841
1834,841
1835,843
1836,841
1837,842
1838,840
1839,838
1840,836
1841,835
1842,834
1843,835
1844,836
1845,837
1846,838
1847,836
1848,836
1849,837
1850,835
1851,834
1852,831
1853,828
1854,829
1855,830
1856,829
1857,831
1858,833
1859,834
1860,834
1861,831
1862,830
1863,828
1864,826
1865,825
1866,826
1867,825
1868,827
1869,829
1870,830
1871,832
1872,832
1873,831
1874,829
1875,828
1876,827
1877,827
1878,827
1879,827
1880,827
1881,829
1882,831
1883,831
1884,832
1885,831
1886,830
1887,830
1888,828
1889,827
1890,827
1891,827
1892,831
1893,834
1894,834
1895,837
1896,836
1897,834
1898,831
1899,830
1900,830
1901,830
1902,830
1903,832
1904,833
1905,834
1906,835
1907,836
1908,836
1909,836
1910,834
1911,837
1912,834
1913,835
1914,837
1915,835
1916,837
1917,837
1918,837
1919,839
1920,839
1921,840
1922,840
1923,836
1924,835
1925,833
1926,835
1927,836
1928,840
1929,840
1930,842
1931,841
1932,842
1933,843
1934,840
1935,839
1936,839
1937,838
1938,838
1939,837
1940,839
1941,840
1942,840
1943,842
1944,842
1945,840
1946,841
1947,839
1948,840
1949,838
1950,838
1951,839
1952,842
1953,840
1954,845
1955,844
1956,843
1957,843
1958,842
1959,842
1960,839
1961,837
1962,839
1963,840
1964,843
1965,846
1966,845
1967,847
1968,849
1969,850
1970,850
1971,852
1972,851
1973,852
1974,853
1975,852
1976,854
1977,856
1978,858
1979,858
1980,858
1981,853
1982,853
1983,853
1984,853
1985,853
1986,854
1987,854
1988,854
1989,859
1990,861
1991,863
1992,863
1993,859
1994,860
1995,859
1996,854
1997,851
1998,850
1999,850
2000,851
2001,850
2002,851
2003,851
2004,849
2005,849
2006,846
2007,847
2008,845
2009,844
2010,844
2011,847
2012,849
2013,851
2014,854
2015,855
2016,856
2017,857
2018,857
2019,859
2020,863
2021,871
2022,888
2023,909
2024,938
2025,965
2026,993
2027,1017
2028,1033
2029,1042
2030,1045
2031,1050
2032,1055
2033,1059
2034,1056
2035,1053
2036,1045
2037,1031
2038,1017
2039,1001
2040,988
2041,967
2042,946
2043,928
2044,908
2045,893
2046,882
2047,873
2048,867
2049,864
2050,861
2051,860
2052,861
2053,859
2054,858
2055,857
2056,859
2057,859
2058,857
2059,859
2060,861
2061,863
2062,863
2063,866
2064,868
2065,867
2066,865
2067,863
2068,861
2069,861
2070,863
2071,864
2072,867
2073,870
2074,870
2075,870
2076,872
2077,871
2078,871
2079,870
2080,869
2081,869
2082,867
2083,868
2084,869
2085,870
2086,871
2087,874
2088,873
2089,872
2090,872
2091,872
2092,871
2093,872
2094,872
2095,873
2096,875
2097,876
2098,879
2099,879
2100,877
2101,878
2102,875
2103,876
2104,873
2105,873
2106,873
2107,874
2108,876
2109,877
2110,879
2111,880
2112,880
2113,880
2114,879
2115,880
2116,876
2117,876
2118,876
2119,877
2120,880
2121,881
2122,882
2123,884
2124,883
2125,885
2126,883
2127,882
2128,880
2129,879
2130,879
2131,878
2132,878
2133,880
2134,880
2135,879
2136,876
2137,876
2138,872
2139,872
2140,870
2141,865
2142,866
2143,865
2144,864
2145,864
2146,864
2147,862
2148,861
2149,858
2150,856
2151,854
2152,851
2153,849
2154,846
2155,846
2156,844
2157,845
2158,847
2159,847
2160,847
2161,845
2162,843
2163,842
2164,842
2165,837
2166,840
2167,841
2168,841
2169,843
2170,844
2171,844
2172,844
2173,843
2174,841
2175,841
2176,838
2177,836
2178,837
2179,835
2180,837
2181,839
2182,841
2183,841
2184,842
2185,841
2186,838
2187,836
2188,835
2189,835
2190,833
2191,834
2192,833
2193,834
2194,835
2195,835
2196,834
2197,835
2198,833
2199,832
2200,827
2201,826
2202,826
2203,826
2204,829
2205,830
2206,830
2207,831
2208,829
2209,828
2210,829
2211,824
2212,825
2213,825
2214,825
2215,827
2216,828
2217,831
2218,830
2219,832
2220,832
2221,830
2222,831
2223,828
2224,827
2225,827
2226,828
2227,827
2228,828
2229,831
2230,833
2231,833
2232,834
2233,835
2234,834
2235,832
2236,830
2237,830
2238,829
2239,831
2240,834
2241,834
2242,837
2243,835
2244,836
2245,836
2246,836
2247,835
2248,834
2249,829
2250,833
2251,837
2252,836
2253,839
2254,839
2255,839
2256,839
2257,837
2258,836
2259,837
2260,836
2261,835
2262,838
2263,837
2264,840
2265,841
2266,840
2267,843
2268,839
2269,840
2270,839
2271,838
2272,838
2273,837
2274,836
2275,837
2276,838
2277,839
2278,841
2279,844
2280,842
2281,843
2282,841
2283,840
2284,839
2285,836
2286,835
2287,836
2288,839
2289,842
2290,844
2291,846
2292,844
2293,843
2294,844
2295,843
2296,840
2297,841
2298,842
2299,842
2300,841
2301,843
2302,845
2303,846
2304,844
2305,845
2306,844
2307,845
2308,843
2309,846
2310,847
2311,851
2312,855
2313,857
2314,861
2315,859
2316,860
2317,859
2318,854
2319,855
2320,856
2321,854
2322,855
2323,853
2324,856
2325,857
2326,856
2327,860
2328,859
2329,856
2330,860
2331,860
2332,861
2333,859
2334,857
2335,856
2336,856
2337,859
2338,859
2339,858
2340,857
2341,853
2342,850
2343,845
2344,842
2345,845
2346,845
2347,846
2348,848
2349,850
2350,850
2351,852
2352,853
2353,854
2354,855
2355,852
2356,850
2357,850
2358,853
2359,854
2360,858
2361,863
2362,870
2363,881
2364,894
2365,913
2366,930
2367,951
2368,974
2369,988
2370,1003
2371,1015
2372,1026
2373,1036
2374,1047
2375,1059
2376,1059
2377,1057
2378,1044
2379,1024
2380,1003
2381,979
2382,955
2383,934
2384,913
2385,897
2386,887
2387,881
2388,873
2389,869
2390,863
2391,860
2392,859
2393,859
2394,861
2395,862
2396,867
2397,868
2398,867
2399,869
2400,868
2401,867
2402,866
2403,864
2404,863
2405,863
2406,864
2407,863
2408,868
2409,869
2410,871
2411,873
2412,874
2413,872
2414,874
2415,872
2416,872
2417,870
2418,872
2419,873
2420,875
2421,876
2422,878
2423,879
2424,879
2425,878
2426,880
2427,877
2428,873
2429,873
2430,875
2431,876
2432,878
2433,880
2434,881
2435,882
2436,884
2437,882
2438,881
2439,878
2440,879
2441,878
2442,878
2443,879
2444,882
2445,882
2446,883
2447,885
2448,884
2449,884
2450,883
2451,883
2452,881
2453,882
2454,883
2455,882
2456,884
2457,887
2458,887
2459,889
2460,890
2461,889
2462,889
2463,888
2464,886
2465,885
2466,884
2467,885
2468,886
2469,889
2470,890
2471,890
2472,890
2473,887
2474,887
2475,883
2476,881
2477,880
2478,878
2479,879
2480,880
2481,878
2482,877
2483,875
2484,872
2485,871
2486,870
2487,866
2488,866
2489,863
2490,861
2491,860
2492,860
2493,861
2494,860
2495,860
2496,857
2497,855
2498,853
2499,851
2500,849
2501,849
2502,847
2503,846
2504,848
2505,849
2506,852
2507,851
2508,852
2509,852
2510,851
2511,850
2512,847
2513,846
2514,846
2515,845
2516,846
2517,848
2518,847
2519,848
2520,849
2521,846
2522,845
2523,842
2524,839
2525,838
2526,839
2527,838
2528,838
2529,840
2530,840
2531,842
2532,843
2533,840
2534,837
2535,836
2536,832
2537,833
2538,830
2539,830
2540,830
2541,832
2542,831
2543,832
2544,832
2545,833
2546,834
2547,830
2548,830
2549,832
2550,827
2551,826
2552,827
2553,827
2554,830
2555,831
2556,832
2557,835
2558,834
2559,833
2560,834
2561,830
2562,831
2563,831
2564,835
2565,836
2566,837
2567,840
2568,838
2569,838
2570,838
2571,837
2572,836
2573,838
2574,836
2575,835
2576,837
2577,840
2578,841
2579,843
2580,846
2581,843
2582,843
2583,839
2584,838
2585,839
2586,840
2587,840
2588,841
2589,843
2590,845
2591,847
2592,847
2593,845
2594,844
2595,844
2596,843
2597,841
2598,839
2599,839
2600,843
2601,844
2602,847
2603,849
2604,850
2605,851
2606,848
2607,847
2608,846
2609,843
2610,844
2611,845
2612,848
2613,848
2614,850
2615,852
2616,852
2617,849
2618,850
2619,847
2620,848
2621,847
2622,846
2623,848
2624,850
2625,848
2626,852
2627,853
2628,850
2629,852
2630,851
2631,850
2632,846
2633,847
2634,846
2635,844
2636,849
2637,850
2638,851
2639,852
2640,854
2641,852
2642,854
2643,852
2644,850
2645,849
2646,848
2647,848
2648,852
2649,850
2650,853
2651,854
2652,856
2653,858
2654,859
2655,859
2656,862
2657,863
2658,863
2659,864
2660,864
2661,867
2662,869
2663,868
2664,867
2665,867
2666,866
2667,864
2668,864
2669,863
2670,863
2671,863
2672,867
2673,867
2674,871
2675,872
2676,872
2677,873
2678,870
2679,865
2680,863
2681,862
2682,859
2683,857
2684,858
2685,857
2686,855
2687,856
2688,856
2689,856
2690,855
2691,855
2692,853
2693,851
2694,850
2695,853
2696,856
2697,856
2698,859
2699,861
2700,863
2701,863
2702,865
2703,864
2704,866
2705,869
2706,877
2707,891
2708,910
2709,933
2710,959
2711,982
2712,1000
2713,1011
2714,1019
2715,1026
2716,1032
2717,1042
2718,1051
2719,1057
2720,1054
2721,1044
2722,1032
2723,1012
2724,992
2725,971
2726,950
2727,927
2728,910
2729,897
2730,886
2731,881
2732,876
2733,871
2734,867
2735,866
2736,863
2737,865
2738,863
2739,860
2740,862
2741,863
2742,862
2743,864
2744,865
2745,866
2746,866
2747,865
2748,867
2749,866
2750,864
2751,864
2752,864
2753,863
2754,863
2755,861
2756,866
2757,870
2758,869
2759,869
2760,870
2761,869
2762,867
2763,869
2764,870
2765,868
2766,869
2767,869
2768,869
2769,871
2770,872
2771,875
2772,874
2773,876
2774,873
2775,872
2776,872
2777,872
2778,873
2779,873
2780,873
2781,877
2782,877
2783,881
2784,879
2785,879
2786,879
2787,875
2788,874
2789,874
2790,873
2791,877
2792,877
2793,879
2794,880
2795,881
2796,880
2797,879
2798,880
2799,879
2800,879
2801,880
2802,881
2803,882
2804,883
2805,885
2806,886
2807,888
2808,888
2809,886
2810,885
2811,881
2812,880
2813,882
2814,881
2815,882
2816,885
2817,885
2818,885
2819,883
2820,885
2821,881
2822,879
2823,877
2824,875
2825,875
2826,875
2827,872
2828,873
2829,873
2830,871
2831,872
2832,870
2833,868
2834,866
2835,861
2836,861
2837,857
2838,857
2839,857
2840,857
2841,855
2842,857
2843,858
2844,851
2845,854
2846,850
2847,848
2848,848
2849,847
2850,846
2851,846
2852,846
2853,846
2854,845
2855,851
2856,848
2857,847
2858,848
2859,845
2860,844
2861,841
2862,841
2863,842
2864,843
2865,845
2866,844
2867,847
2868,845
2869,845
2870,843
2871,842
2872,840
2873,837
2874,836
2875,837
2876,837
2877,836
2878,838
2879,839
2880,838
2881,835
2882,836
2883,834
2884,832
2885,833
2886,831
2887,831
2888,829
2889,831
2890,833
2891,836
2892,835
2893,834
2894,831
2895,829
2896,831
2897,828
2898,828
2899,827
2900,830
2901,828
2902,830
2903,832
2904,831
2905,833
2906,832
2907,830
2908,832
2909,829
2910,829
2911,830
2912,832
2913,831
2914,833
2915,832
2916,835
2917,835
2918,835
2919,835
2920,835
2921,833
2922,832
2923,832
2924,833
2925,834
2926,836
2927,838
2928,837
2929,838
2930,838
2931,838
2932,836
2933,832
2934,832
2935,833
2936,832
2937,835
2938,835
2939,838
2940,838
2941,839
2942,839
2943,839
2944,837
2945,836
2946,834
2947,834
2948,834
2949,836
2950,841
2951,843
2952,843
2953,843
2954,842
2955,839
2956,839
2957,838
2958,838
2959,838
2960,839
2961,841
2962,844
2963,843
2964,844
2965,844
2966,842
2967,841
2968,839
2969,840
2970,839
2971,839
2972,840
2973,842
2974,843
